eval_id	eval_group_id	timestamp	workflow	split	suite	prompt_variant	policy_label	instance_count	suite_average_gap	suite_min_gap	suite_max_gap	easy_average	medium_average	hard_average	all_feasible	total_wall_time	decision	is_primary_track	policy_summary
1	1	2026-04-11 17:36:17	scout	train	cvrp_scout_8	full	baseline	2	0.608209	0.216418	1.000000		0.608209		0	138.6	keep	1	VQE efficientsu2 d=1 COBYLA
2	2	2026-04-11 18:06:44	scout	train	cvrp_scout_8	full	adaptive	2	1.000000	1.000000	1.000000		1.000000		0	430.4	discard	1	QRAO realamplitudes d=1 COBYLA
3	3	2026-04-11 18:16:46	scout	train	cvrp_scout_8	full	adaptive	2	0.608209	0.216418	1.000000		0.608209		0	565.9	discard	1	VQE efficientsu2 d=1 COBYLA
4	4	2026-04-11 18:24:18	scout	train	cvrp_scout_8	full	adaptive	2	1.000000	1.000000	1.000000		1.000000		0	107.0	discard	1	VQE realamplitudes d=1 COBYLA
5	5	2026-04-11 18:28:19	scout	train	cvrp_scout_8	full	adaptive	2	0.172828	0.166667	0.178988		0.172828		1	193.4	keep	1	VQE efficientsu2 d=1 COBYLA
6	6	2026-04-11 18:33:43	scout	train	cvrp_scout_8	full	adaptive	2	0.112352	0.058036	0.166667		0.112352		1	283.8	keep	1	VQE efficientsu2 d=1 COBYLA
7	7	2026-04-11 18:42:16	scout	train	cvrp_scout_8	full	adaptive	2	0.112352	0.058036	0.166667		0.112352		1	471.0	discard	1	VQE efficientsu2 d=1 COBYLA
8	8	2026-04-11 18:48:02	scout	train	cvrp_scout_8	full	adaptive	2	0.179119	0.166667	0.191571		0.179119		1	287.2	discard	1	VQE efficientsu2 ent=circular d=1 COBYLA
9	9	2026-04-11 18:54:36	scout	train	cvrp_scout_8	full	adaptive	2	0.597701	0.195402	1.000000		0.597701		0	351.5	discard	1	VQE efficientsu2 d=1 COBYLA
10	10	2026-04-11 19:01:43	scout	train	cvrp_scout_8	full	adaptive	2	1.000000	1.000000	1.000000		1.000000		0	377.9	discard	1	VQE efficientsu2 d=1 SPSA
11	11	2026-04-11 19:06:03	scout	train	cvrp_scout_8	full	adaptive	2	0.584980	0.169960	1.000000		0.584980		0	225.4	discard	1	VQE paulitwodesign d=1 COBYLA
12	12	2026-04-11 19:11:38	scout	train	cvrp_scout_8	full	adaptive	2	0.574899	0.149798	1.000000		0.574899		0	296.7	discard	1	VQE efficientsu2 d=2 COBYLA
13	13	2026-04-11 19:17:19	scout	train	cvrp_scout_8	full	adaptive	2	0.112352	0.058036	0.166667		0.112352		1	286.6	discard	1	VQE efficientsu2 d=1 COBYLA
14	14	2026-04-11 19:25:06	confirm	train	cvrp_curriculum_8	full	adaptive	3	0.095016	0.058036	0.166667		0.112352	0.060345	1	429.8	confirm	0	VQE efficientsu2 d=1 COBYLA
15	15	2026-04-11 19:32:15	confirm	train	cvrp_curriculum_8	full	adaptive	3	0.095016	0.058036	0.166667		0.112352	0.060345	1	428.4	confirm	0	VQE efficientsu2 d=1 COBYLA
16	16	2026-04-11 19:43:51	confirm	train	cvrp_curriculum_8	full	adaptive	3	0.095016	0.058036	0.166667		0.112352	0.060345	1	695.4	confirm	0	VQE efficientsu2 d=1 COBYLA
17	17	2026-04-11 19:55:19	scout	train	cvrp_curriculum_10	full	adaptive	2	1.000000	1.000000	1.000000			1.000000	0	348.5	keep	1	VQE efficientsu2 d=1 COBYLA
18	17	2026-04-11 19:55:19	scout	replay_8	cvrp_scout_8	full	adaptive	2	0.112352	0.058036	0.166667		0.112352		1	285.5	keep	0	VQE efficientsu2 d=1 COBYLA
19	18	2026-04-11 20:28:51	scout	train	cvrp_curriculum_10	full	adaptive	2	1.000000	1.000000	1.000000			1.000000	0	1021.2	discard	1	VQE efficientsu2 d=1 COBYLA
20	18	2026-04-11 20:28:51	scout	replay_8	cvrp_scout_8	full	adaptive	2	0.583333	0.166667	1.000000		0.583333		0	801.2	discard	0	VQE efficientsu2 d=1 COBYLA
21	19	2026-04-11 20:33:44	scout	train	cvrp_curriculum_10	full	adaptive	2	0.047210	0.033195	0.061224			0.047210	1	117.2	discard	1	VQE efficientsu2 d=1 COBYLA
22	19	2026-04-11 20:33:44	scout	replay_8	cvrp_scout_8	full	adaptive	2	0.134564	0.086957	0.182171		0.134564		1	41.2	discard	0	VQE efficientsu2 d=1 COBYLA
23	20	2026-04-11 20:37:57	scout	train	cvrp_curriculum_10	full	adaptive	2	0.047210	0.033195	0.061224			0.047210	1	152.8	keep	1	VQE efficientsu2 d=1 COBYLA
24	20	2026-04-11 20:37:57	scout	replay_8	cvrp_scout_8	full	adaptive	2	0.091085	0.000000	0.182171		0.091085		1	48.2	keep	0	VQE efficientsu2 d=1 COBYLA
25	21	2026-04-11 20:42:23	confirm	train	cvrp_curriculum_10	full	adaptive	2	0.047210	0.033195	0.061224			0.047210	1	154.1	confirm	0	VQE efficientsu2 d=1 COBYLA
26	21	2026-04-11 20:42:23	confirm	replay_8	cvrp_curriculum_8	full	adaptive	3	0.095017	0.000000	0.182171		0.091085	0.102881	1	74.9	confirm	0	VQE efficientsu2 d=1 COBYLA
27	22	2026-04-11 20:45:26	confirm	train	cvrp_curriculum_10	full	adaptive	2	0.047210	0.033195	0.061224			0.047210	1	118.6	confirm	0	VQE efficientsu2 d=1 COBYLA
28	22	2026-04-11 20:45:26	confirm	replay_8	cvrp_curriculum_8	full	adaptive	3	0.124003	0.086957	0.182171		0.134564	0.102881	1	63.4	confirm	0	VQE efficientsu2 d=1 COBYLA
29	23	2026-04-11 20:58:56	confirm	train	cvrp_curriculum_10	full	adaptive	2	1.000000	1.000000	1.000000			1.000000	0	364.9	confirm	0	VQE efficientsu2 d=1 COBYLA
30	23	2026-04-11 20:58:56	confirm	replay_8	cvrp_curriculum_8	full	adaptive	3	0.095016	0.058036	0.166667		0.112352	0.060345	1	444.6	confirm	0	VQE efficientsu2 d=1 COBYLA
32	24	2026-04-11 21:11:31	scout	replay_10	cvrp_curriculum_10	full	adaptive	2	0.047210	0.033195	0.061224			0.047210	1	208.6	keep	0	VQE efficientsu2 d=1 COBYLA
33	24	2026-04-11 21:11:31	scout	replay_8	cvrp_scout_8	full	adaptive	2	0.091085	0.000000	0.182171		0.091085		1	62.1	keep	0	VQE efficientsu2 d=1 COBYLA
