eval_id	eval_group_id	timestamp	workflow	split	suite	prompt_variant	policy_label	instance_count	suite_average_gap	suite_min_gap	suite_max_gap	easy_average	medium_average	hard_average	all_feasible	total_wall_time	decision	is_primary_track	policy_summary
1	1	2026-03-20 17:11:24	scout	train	mis_scout_16	full	baseline	2	0.604167	0.375000	0.833333		0.375000	0.833333	1	19.8	keep	1	VQE realamplitudes d=1 COBYLA
2	2	2026-03-20 17:14:49	scout	train	mis_scout_16	full	adaptive	2	0.604167	0.375000	0.833333		0.375000	0.833333	1	38.9	discard	1	VQE realamplitudes d=1 COBYLA
3	3	2026-03-20 17:16:16	scout	train	mis_scout_16	full	adaptive	2	0.750000	0.500000	1.000000		0.500000	1.000000	0	21.9	discard	1	VQE efficientsu2 d=1 COBYLA
4	4	2026-03-20 17:17:16	scout	train	mis_scout_16	full	adaptive	2	0.062500	0.000000	0.125000		0.125000	0.000000	1	26.6	keep	1	VQE realamplitudes d=1 COBYLA CVaR(0.25)
5	5	2026-03-20 17:19:29	scout	train	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	29.4	keep	1	VQE realamplitudes d=1 COBYLA CVaR(0.1)
6	6	2026-03-20 17:25:24	confirm	train	mis_curriculum_16	full	adaptive	5	0.400000	0.000000	1.000000		0.500000	0.000000	0	334.6	confirm	0	VQE realamplitudes d=1 COBYLA CVaR(0.1)
7	7	2026-03-20 17:30:30	confirm	train	mis_curriculum_16	full	adaptive	5	0.250000	0.000000	1.000000		0.312500	0.000000	0	306.3	confirm	0	VQE realamplitudes d=1 COBYLA CVaR(0.25)
8	8	2026-03-20 17:34:03	confirm	train	mis_curriculum_16	full	adaptive	5	0.580952	0.375000	0.833333		0.517857	0.833333	1	212.4	confirm	0	VQE realamplitudes d=1 COBYLA
9	9	2026-03-20 17:35:00	scout	train	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.9	discard	1	QAOA d=1 COBYLA CVaR(0.25) warmstart
10	10	2026-03-20 17:35:48	confirm	train	mis_curriculum_16	full	adaptive	5	0.025000	0.000000	0.125000		0.031250	0.000000	1	19.2	confirm	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
11	11	2026-03-20 17:37:03	scout	train	mis_scout_32	full	adaptive	2	1.000000	1.000000	1.000000			1.000000	0	26.8	keep	1	QAOA d=1 COBYLA CVaR(0.25) warmstart
12	11	2026-03-20 17:37:03	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	8.3	keep	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
13	12	2026-03-20 17:46:50	scout	train	mis_scout_32	full	adaptive	2	0.700000	0.400000	1.000000			0.700000	0	108.4	keep	1	QRAO realamplitudes d=1 COBYLA
14	12	2026-03-20 17:46:50	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.8	keep	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
15	13	2026-03-20 17:51:52	scout	train	mis_scout_32	full	adaptive	2	0.666667	0.333333	1.000000			0.666667	0	173.8	keep	1	QRAO realamplitudes d=1 COBYLA
16	13	2026-03-20 17:51:52	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.8	keep	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
